#time top.output
0 0
0.02 0
0.04 0
0.06 0
0.08 0
0.1 0
0.12 0.0146586
0.14 0.0341815
0.16 0.053681
0.18 0.0731572
0.2 0.0926101
0.22 0.11204
0.24 0.131231
0.26 0.150042
0.28 0.16845
0.3 0.186454
0.32 0.204057
0.34 0.22126
0.36 0.238065
0.38 0.254482
0.4 0.270517
0.42 0.286179
0.44 0.301477
0.46 0.316419
0.48 0.331013
0.5 0.345267
0.52 0.359188
0.54 0.372786
0.56 0.386067
0.58 0.399038
0.6 0.411708
0.62 0.424082
0.64 0.436168
0.66 0.447973
0.68 0.459503
0.7 0.470764
0.72 0.481764
0.74 0.492507
0.76 0.503
0.78 0.513249
0.8 0.523259
0.82 0.533037
0.84 0.542587
0.86 0.551915
0.88 0.561025
0.9 0.569924
0.92 0.578616
0.94 0.587105
0.96 0.595398
0.98 0.603497
1 0.611408
1.02 0.619135
1.04 0.626683
1.06 0.634055
1.08 0.641255
1.1 0.648289
1.12 0.655159
1.14 0.661869
1.16 0.668423
1.18 0.674826
1.2 0.681079
1.22 0.687187
1.24 0.693154
1.26 0.698982
1.28 0.704674
1.3 0.710235
1.32 0.715666
1.34 0.720972
1.36 0.726154
1.38 0.731216
1.4 0.736161
1.42 0.740991
1.44 0.745709
1.46 0.750318
1.48 0.75482
1.5 0.759217
1.52 0.763513
1.54 0.767709
1.56 0.771808
1.58 0.775812
1.6 0.779724
1.62 0.783544
1.64 0.787277
1.66 0.790923
1.68 0.794485
1.7 0.797964
1.72 0.801363
1.74 0.804683
1.76 0.807927
1.78 0.811096
1.8 0.814191
1.82 0.817215
1.84 0.820169
1.86 0.823055
1.88 0.825875
1.9 0.828629
1.92 0.83132
1.94 0.833949
1.96 0.836517
1.98 0.839026
2 0.841477
2.02 0.843872
2.04 0.846212
2.06 0.848497
2.08 0.850731
2.1 0.852912
2.12 0.855044
2.14 0.857127
2.16 0.859162
2.18 0.86115
2.2 0.863092
2.22 0.86499
2.24 0.866845
2.26 0.868657
2.28 0.870427
2.3 0.872157
2.32 0.873847
2.34 0.875499
2.36 0.877112
2.38 0.878689
2.4 0.88023
2.42 0.881736
2.44 0.883207
2.46 0.884645
2.48 0.88605
2.5 0.887422
2.52 0.888764
2.54 0.890075
2.56 0.891356
2.58 0.892608
2.6 0.893832
2.62 0.895028
2.64 0.896196
2.66 0.897338
2.68 0.898455
2.7 0.899546
2.72 0.900612
2.74 0.901654
2.76 0.902673
2.78 0.903668
2.8 0.904641
2.82 0.905592
2.84 0.906522
2.86 0.907431
2.88 0.908319
2.9 0.909187
2.92 0.910036
2.94 0.910866
2.96 0.911677
2.98 0.91247
3 0.913245
3.02 0.914003
3.04 0.914744
3.06 0.915469
3.08 0.916177
3.1 0.916869
3.12 0.917546
3.14 0.918208
3.16 0.918856
3.18 0.919489
3.2 0.920108
3.22 0.920713
3.24 0.921305
3.26 0.921884
3.28 0.92245
3.3 0.923003
3.32 0.923545
3.34 0.924074
3.36 0.924592
3.38 0.925099
3.4 0.925594
3.42 0.926079
3.44 0.926553
3.46 0.927017
3.48 0.927471
3.5 0.927914
3.52 0.928349
3.54 0.928774
3.56 0.929189
3.58 0.929596
3.6 0.929994
3.62 0.930383
3.64 0.930764
3.66 0.931137
3.68 0.931502
3.7 0.93186
3.72 0.932209
3.74 0.932551
3.76 0.932886
3.78 0.933214
3.8 0.933535
3.82 0.933849
3.84 0.934157
3.86 0.934458
3.88 0.934753
3.9 0.935041
3.92 0.935324
3.94 0.935601
3.96 0.935872
3.98 0.936137
4 0.936397
4.02 0.936652
4.04 0.936901
4.06 0.937146
4.08 0.937385
4.1 0.93762
4.12 0.937849
4.14 0.938074
4.16 0.938295
4.18 0.938511
4.2 0.938723
4.22 0.938931
4.24 0.939134
4.26 0.939334
4.28 0.939529
4.3 0.939721
4.32 0.939909
4.34 0.940093
4.36 0.940274
4.38 0.940451
4.4 0.940625
4.42 0.940795
4.44 0.940962
4.46 0.941126
4.48 0.941287
4.5 0.941445
4.52 0.9416
4.54 0.941752
4.56 0.941901
